user_id,items_count,money_spent,total_recommend,recommend_percent
76561198056147391,7,59.96,0.0,0.0
8Bit-Ninja,81,478.55,0.0,0.0
76561198071500702,13,124.92999999999999,0.0,0.0
76561198099905030,78,681.59,0.0,0.0
76561198047407223,56,64.95,0.0,0.0
latiano,72,873.5,0.0,0.0
kongtape,73,490.62,0.0,0.0
boydeer,149,1354.98,1.0,0.67
76561198100297613,74,944.53,0.0,0.0
VVillis,168,1808.37,1.0,0.6
76561198083226897,6,24.98,1.0,16.67
76561198075277292,14,100.92,2.0,14.29
76561198094630961,20,135.89,0.0,0.0
12549,64,228.87,0.0,0.0
76561198028895010,190,1686.72,2.0,1.05
76561198092411867,20,129.93,0.0,0.0
76561198170198366,27,119.91,1.0,3.7
diego9031,200,1097.19,10.0,5.0
iampiepiepie,41,584.7,0.0,0.0
76561198079863506,26,89.94,0.0,0.0
jarrodtrim,161,1555.86,1.0,0.62
76561198078738103,33,195.85,1.0,3.03
76561198068964564,12,169.92,0.0,0.0
76561198067936203,46,579.8100000000001,1.0,2.17
76561198079770573,30,218.87,1.0,3.33
UpTheAss,10,169.94,0.0,0.0
76561197977385164,12,169.89,0.0,0.0
76561198075491015,34,75.93,0.0,0.0
76561198087586464,31,190.84,1.0,3.23
76561198086878953,185,1883.77,0.0,0.0
Derp-e,18,189.88,1.0,5.56
76561198070194565,214,1215.16,7.0,3.27
Rivtex,51,319.73,1.0,1.96
firefreddy,25,16.97,0.0,0.0
UTNerd24,188,1612.44,6.0,3.19
sandwiches1,172,1560.87,0.0,0.0
76561198093083895,15,87.96,0.0,0.0
76561198138053270,64,441.69,1.0,1.56
76561198062422084,83,1062.45,0.0,0.0
Life-Of-Blu,64,810.61,2.0,3.12
CaptianAutismo,62,350.74,1.0,1.61
maxgp,77,714.67,0.0,0.0
AppaTheSwagBison,77,558.67,0.0,0.0
knightboy991,67,509.8,0.0,0.0
76561198034678103,49,461.68,0.0,0.0
76561198075895633,38,349.81,1.0,2.63
TheDropix101,16,201.87,1.0,6.25
kube134,476,5398.67,1.0,0.21
iamthekingofbrowntown,124,2127.7999999999997,3.0,2.42
MainScout,36,19.99,1.0,2.78
gdxsd,79,464.68,0.0,0.0
yookobz,174,2025.35,2.0,1.15
Posiblydead,255,3187.0499999999997,3.0,1.18
Mossy_Gaming,21,186.88,1.0,4.76
76561198093817084,65,225.82,0.0,0.0
76561198102421718,88,581.63,3.0,3.41
76561198079045885,36,342.8,0.0,0.0
76561198087407319,66,718.65,1.0,1.52
76561198074466513,31,213.87,0.0,0.0
damo131,20,189.92000000000002,0.0,0.0
19702316748,94,942.3,0.0,0.0
FrystHjarte,39,29.97,0.0,0.0
76561198056741844,257,3277.18,1.0,0.39
sad-commie,306,3694.34,3.0,0.98
76561198030567998,75,914.38,5.0,6.67
Coldaniel,133,1207.29,3.0,2.26
therealmorty,174,1464.87,2.0,1.15
itslonk,133,1918.76,0.0,0.0
DeDroidUreLookin4,52,768.43,0.0,0.0
Berserklejerker,123,1385.1299999999999,1.0,0.81
76561198088799241,76,526.72,0.0,0.0
76561198061730629,87,681.56,1.0,1.15
YoHuNz,153,1237.95,2.0,1.31
possessioniskey,23,95.92999999999999,3.0,13.04
76561198072732874,49,269.84000000000003,0.0,0.0
76561198093112529,30,49.96,1.0,3.33
sevqu,28,170.89,0.0,0.0
76561198060447950,55,109.94,1.0,1.82
whiteofwolfing,21,286.88,1.0,4.76
76561198056857968,64,842.52,0.0,0.0
sergarino,80,584.59,1.0,1.25
PyroCreed,55,500.61,0.0,0.0
76561198052897627,20,184.91,0.0,0.0
76561198081962345,95,746.4,2.0,2.11
76561198039266268,13,44.97,0.0,0.0
76561198094224872,25,298.81,1.0,4.0
76561198073210139,39,118.9,1.0,2.56
Nozomikat,108,989.25,7.0,6.48
76561198076933844,33,487.77,0.0,0.0
76561198072186059,57,714.67,0.0,0.0
xfluttersx,344,3232.56,6.0,1.74
76561198068621601,8,61.95,0.0,0.0
76561198056290589,41,231.85,1.0,2.44
ii_voltage_ii,456,1182.0,3.0,0.66
76561198097762318,22,126.89,2.0,9.09
Hirukaz,81,680.28,1.0,1.23
StelerForYou,68,267.78,2.0,2.94
76561198183396245,24,139.91,1.0,4.17
otteloo,115,138.39000000000001,0.0,0.0
shinra420,42,194.85999999999999,0.0,0.0
Xx-Woods,173,1662.8,7.0,4.05
kevinator23,71,711.51,8.0,11.27
tonyballoney,38,483.71,0.0,0.0
76561198090715178,82,371.69,2.0,2.44
Child_Vs_Puddle,28,129.92,0.0,0.0
76561198073784601,69,419.73,1.0,1.45
mimimomoma,191,1754.88,1.0,0.52
76561198102410011,22,35.97,1.0,4.55
de_Butl3r,17,129.94,1.0,5.88
76561198157999555,3,24.98,0.0,0.0
76561198027947401,27,113.9,2.0,7.41
Bluezap1,50,289.77,4.0,8.0
76561198074200011,4,21.98,1.0,25.0
jonasdbomb,461,5362.13,1.0,0.22
L1J1N,34,454.72999999999996,1.0,2.94
Lord_Exploit,48,672.66,2.0,4.17
76561198079106676,83,1129.48,0.0,0.0
76561198092244787,33,365.68,0.0,0.0
Sanctus94,75,565.59,0.0,0.0
76561197990792016,113,1296.06,0.0,0.0
AVATAR715,186,1552.0,7.0,3.76
76561198073987767,24,209.88,0.0,0.0
Fluxxyz,8,44.97,0.0,0.0
76561198092150873,75,814.63,0.0,0.0
YieuwMage,70,100.92999999999999,1.0,1.43
Nfkted_CS,17,114.93,0.0,0.0
A-Very-Sly-Person,45,203.9,2.0,4.44
76561197994493402,151,1830.95,3.0,1.99
76561198065656175,110,1046.29,1.0,0.91
76561198188979775,8,29.97,1.0,12.5
97396295,22,54.96,2.0,9.09
xoFushiox,49,379.73999999999995,0.0,0.0
76561198126640317,27,244.85999999999999,7.0,25.93
DemonicWolvz,106,711.96,6.0,5.66
DieMadchenschanderin,200,1944.61,2.0,1.0
76561198072706529,59,519.75,0.0,0.0
76561198215949741,2,14.99,0.0,0.0
GGargula,185,1750.6699999999998,1.0,0.54
Myther43,213,2702.64,1.0,0.47
getf0kinn0sc0pedm9,78,437.68,1.0,1.28
76561198141443390,107,815.54,1.0,0.93
76561198031924053,4,49.97,0.0,0.0
76561198097333029,23,249.84,1.0,4.35
dominiclim99,16,40.980000000000004,0.0,0.0
whodafuqisthisguilao,41,76.92999999999999,1.0,2.44
76561198072205329,21,129.95,0.0,0.0
Icamebackbitches,76,635.59,0.0,0.0
Magjiikal,162,1297.32,2.0,1.23
ohnospaghet,176,1191.52,5.0,2.84
76561198060062487,5,19.99,0.0,0.0
76561198050347115,95,1397.1499999999999,1.0,1.05
2768820078,91,1550.26,8.0,8.79
76561198049968536,53,264.89,0.0,0.0
76561198056392326,141,1356.47,1.0,0.71
2d4nk4m3,160,697.36,1.0,0.62
76561198074003102,9,69.95,0.0,0.0
76561198078478151,23,180.88,1.0,4.35
exiaez,37,445.71,1.0,2.7
BURNINGchicken3,307,3600.75,0.0,0.0
76561198066835162,112,1056.51,0.0,0.0
76561198069593452,34,44.97,0.0,0.0
undietaker,92,867.4399999999999,0.0,0.0
76561198095921854,82,640.6999999999999,1.0,1.22
EizanAratoFujimaki,391,2419.2,1.0,0.26
POOTISSPENSOR,26,211.81,0.0,0.0
angorabug,49,553.1899999999999,0.0,0.0
TeCool,56,570.56,3.0,5.36
ZyhgarThestarweaver,179,2092.68,0.0,0.0
2xDelorean,55,439.7,4.0,7.27
washington_,112,1028.32,5.0,4.46
76561198088944293,131,1666.14,3.0,2.29
76561198061769804,40,169.87,0.0,0.0
76561198051258119,73,408.79,1.0,1.37
76561198065771371,64,90.92999999999999,0.0,0.0
nubquake123,76,599.55,1.0,1.32
Pyromanic,41,436.69,3.0,7.32
76561198109656922,43,199.9,1.0,2.33
76561198149432604,14,48.94,0.0,0.0
Unplanned_stategy,39,291.84000000000003,0.0,0.0
CobRazor,70,614.49,1.0,1.43
relesprit,104,1284.16,1.0,0.96
76561198090294067,59,962.49,0.0,0.0
jimmyarcexd,1,0.0,0.0,0.0
talove112345,105,1186.1299999999999,0.0,0.0
76561198055094875,41,689.7,0.0,0.0
WitchHunter4542,75,482.71,3.0,4.0
76561198203244300,40,30.97,0.0,0.0
pwrt,51,346.78999999999996,2.0,3.92
wantmahbody,83,736.47,1.0,1.2
76561198115868847,33,336.82,0.0,0.0
benedictcuminherbatch,5,42.97,1.0,20.0
76561198031207016,41,269.87,1.0,2.44
76561198089077856,4,4.99,0.0,0.0
76561198043458582,168,2305.85,4.0,2.38
smashiroshh,172,1877.8,1.0,0.58
shark854,37,467.77,1.0,2.7
76561198062876401,153,1667.72,0.0,0.0
76561198011661078,11,114.92,0.0,0.0
PabloSanches,116,1233.22,0.0,0.0
76561197991074667,14,0.0,0.0,0.0
killbunny38,110,1390.26,1.0,0.91
76561198047630659,133,2032.81,0.0,0.0
76561198069713121,115,546.56,0.0,0.0
1997-07-06_J077,7,29.98,0.0,0.0
76561198076248461,19,226.87,0.0,0.0
1337lolroflmao,197,1961.79,9.0,4.57
76561198080832419,10,134.96,0.0,0.0
76561198151645088,27,201.87,0.0,0.0
IAA_Recon_Dropbear,195,2581.38,0.0,0.0
goonbagger,30,347.71000000000004,0.0,0.0
76561198060039459,35,329.85,0.0,0.0
OzfurAtlas,125,1580.06,2.0,1.6
76561198065593074,111,1059.3899999999999,2.0,1.8
madmax64,81,417.77,0.0,0.0
76561198044169764,57,320.75,2.0,3.51
euzi,19,309.89,1.0,5.26
lucasrash,27,194.9,1.0,3.7
76561198082845362,6,14.99,0.0,0.0
76561198087767019,25,272.85,0.0,0.0
thisissohardtomakeoneup,15,134.92,1.0,6.67
76561198087010391,7,9.99,1.0,14.29
66666669999999,121,1268.3,0.0,0.0
76561198061174192,131,1609.97,2.0,1.53
DoaFapbeforeaNap,114,129.85999999999999,0.0,0.0
ReMiXOfficalSteam,106,705.42,1.0,0.94
Wilfire77,113,1234.1,1.0,0.88
76561198042730234,36,378.78999999999996,0.0,0.0
76561198069159579,25,202.86999999999998,0.0,0.0
76561198086476445,18,91.92999999999999,0.0,0.0
76561198085016240,59,723.6,0.0,0.0
76561198060808273,310,3657.66,0.0,0.0
76561198084390807,26,405.86,2.0,7.69
76561198003688205,7,54.96,0.0,0.0
Mastic,365,3951.16,4.0,1.1
Scooterinooo,40,454.77,0.0,0.0
76561198028286104,30,339.82,1.0,3.33
76561198088447673,36,244.84,0.0,0.0
tarjla,193,1902.71,10.0,5.18
deathnz1,250,2731.11,1.0,0.4
readingthis4noobs,57,119.9,1.0,1.75
SonicMCGamer,19,118.91,0.0,0.0
xXBoss1Xx,3,15.98,0.0,0.0
76561198084698198,143,1194.3,0.0,0.0
76561198104393251,51,288.76,1.0,1.96
Borne901,58,459.65,0.0,0.0
76561198075322986,91,410.61,1.0,1.1
redsncrimson,65,723.48,9.0,13.85
76561198151910904,38,238.82999999999998,1.0,2.63
H1DD3NT3RR0R,108,821.75,5.0,4.63
76561198071214618,93,1253.37,1.0,1.08
76561198115115631,58,370.8,1.0,1.72
sisiiik,33,346.33,0.0,0.0
76561198071175142,67,507.78000000000003,2.0,2.99
t8s,70,287.72999999999996,2.0,2.86
pikawuu2,100,723.38,2.0,2.0
Sammeh00,96,536.47,1.0,1.04
godlike_bot,33,449.81,0.0,0.0
dpswaffles,18,149.87,0.0,0.0
NoObFiGHtEr,49,835.61,0.0,0.0
Michaelele,66,706.59,4.0,6.06
76561198045754869,124,1576.36,1.0,0.81
76561198076098774,9,79.94,1.0,11.11
76561198074963071,24,9.99,0.0,0.0
76561198103253374,26,79.96,1.0,3.85
76561198048417105,12,217.9,4.0,33.33
76561197989175394,31,391.84000000000003,0.0,0.0
76561198090842891,40,373.8,1.0,2.5
76561198058706736,20,439.81,0.0,0.0
76561198055767971,95,735.53,0.0,0.0
76561197998052647,113,1536.07,1.0,0.88
adohya343,137,749.4,0.0,0.0
76561198145436942,34,517.74,1.0,2.94
3xotic26,153,1954.73,4.0,2.61
iamthetrashlord,191,2562.74,2.0,1.05
nothingheretrustme,44,481.71999999999997,0.0,0.0
76561198071253729,43,601.6800000000001,0.0,0.0
3dster,113,1148.19,1.0,0.88
76561198041808338,81,1010.46,0.0,0.0
76561198016685643,124,1524.93,0.0,0.0
76561198079990063,26,267.85,1.0,3.85
Forty-Nine,114,1012.22,1.0,0.88
76561198051017916,763,3072.98,2.0,0.26
L4M1NAS,74,449.76,3.0,4.05
emurphy8,29,325.8,0.0,0.0
76561198096766604,48,567.73,0.0,0.0
Sephirical,130,1231.17,0.0,0.0
76561197995322437,36,586.66,1.0,2.78
imsojipper,196,2306.54,1.0,0.51
76561198066840831,7,79.96,0.0,0.0
76561198096220900,38,290.8,0.0,0.0
76561198084542731,61,784.3199999999999,2.0,3.28
fullswag0to100realquick,24,314.85,0.0,0.0
76561198102121026,1,8.99,0.0,0.0
76561198103671881,96,455.77,1.0,1.04
mrpfresh,791,8663.44,3.0,0.38
GamerFag,64,392.52,6.0,9.38
76561197970628046,83,1205.28,0.0,0.0
76561198013858002,40,410.76,0.0,0.0
76561198058570014,67,208.85,0.0,0.0
76561198045133986,43,469.76,0.0,0.0
76561198002820828,129,1335.1599999999999,0.0,0.0
chidori_647,723,8993.619999999999,3.0,0.41
76561198092227136,333,1799.01,2.0,0.6
hellcat59,55,888.56,1.0,1.82
76561198007584361,138,1634.1,1.0,0.72
tbimperator,279,3813.96,1.0,0.36
Allahu_Akbar666,86,480.71,1.0,1.16
ulramite,135,1149.55,3.0,2.22
76561198080534850,63,766.7,0.0,0.0
-GM-Dragon,106,822.47,1.0,0.94
LeoRocksAce,24,162.89,0.0,0.0
76561198054040292,90,315.75,1.0,1.11
76561198155458511,56,320.78999999999996,0.0,0.0
I_DID_911_JUST_SAYING,154,1172.92,5.0,3.25
76561198077035732,14,178.93,0.0,0.0
76561198072625764,44,315.81,0.0,0.0
A_Je_100,13,74.94,0.0,0.0
imagoatieatpoo,22,288.82,0.0,0.0
750805,690,8375.19,0.0,0.0
76561198080881726,43,351.71999999999997,0.0,0.0
Thatishayden,122,1846.99,0.0,0.0
Flabbernackle,261,3159.11,0.0,0.0
diabeticfuck,121,1451.09,3.0,2.48
magicalpony,6,0.0,0.0,0.0
76561197962104795,79,791.55,0.0,0.0
76561198054465623,230,697.5,5.0,2.17
76561198074257942,178,1919.83,0.0,0.0
aaropro,36,158.91,2.0,5.56
Aaron_ggf,664,6274.98,0.0,0.0
abiam,46,233.87,1.0,2.17
76561198037346576,89,1046.35,0.0,0.0
FrankoWalker,53,570.7,3.0,5.66
LightfootSword7,255,3122.06,1.0,0.39
DaDanMan,184,2283.48,0.0,0.0
SALTTHEW0UND,114,820.14,6.0,5.26
express157,75,912.5,1.0,1.33
76561198074644990,132,1240.12,2.0,1.52
76561198064304806,36,516.78,1.0,2.78
3456457568,90,715.59,0.0,0.0
TomoeMamiewe,63,225.82,2.0,3.17
76561198057086148,66,1133.3799999999999,1.0,1.52
Acidius99,128,1693.99,4.0,3.12
76561198067150343,105,567.77,0.0,0.0
acorn13,404,5315.63,3.0,0.74
adamcookie,40,360.75,1.0,2.5
AddzyTheBaddzy,138,1310.9,2.0,1.45
76561197997824340,255,2930.21,0.0,0.0
76561198076154360,18,169.85999999999999,0.0,0.0
76561198055524901,28,469.78,0.0,0.0
mradobe7,250,3148.68,0.0,0.0
zomboy151,164,2460.67,0.0,0.0
76561198167207237,58,680.5699999999999,4.0,6.9
cancerkek,50,824.65,1.0,2.0
matto1499,55,506.64,0.0,0.0
76561198073508075,47,503.72,3.0,6.38
76561198090899557,62,713.58,0.0,0.0
76561198072468669,12,49.97,0.0,0.0
Advancebest,92,532.5600000000001,0.0,0.0
advenger95,104,1056.28,3.0,2.88
EndAtHallow,66,800.47,1.0,1.52
76561198060820384,24,239.87,0.0,0.0
76561198063624801,87,690.43,1.0,1.15
aeryal,55,331.69,1.0,1.82
vault_brothers,59,774.59,0.0,0.0
After2night,30,299.85,0.0,0.0
76561198029090446,79,879.5,0.0,0.0
76561197968819541,39,562.71,0.0,0.0
76561198015968275,278,3452.85,1.0,0.36
defender_10,54,374.78,0.0,0.0
Agiegamma,109,1069.36,1.0,0.92
76561198082614708,28,68.92,1.0,3.57
76561198066465411,38,101.91,0.0,0.0
Agronoth,206,2375.29,4.0,1.94
UnholyFallenAngel,83,705.59,3.0,3.61
Ricardio556,113,888.26,0.0,0.0
madgamerzzz,15,109.92999999999999,0.0,0.0
76561198068565589,120,1474.9,2.0,1.67
SlutOnTheSpit,62,906.57,1.0,1.61
WestyGaming,89,502.53,1.0,1.12
NaruseAiria,390,3218.44,4.0,1.03
76561198265081359,16,68.93,0.0,0.0
76561198046844795,11,59.959999999999994,0.0,0.0
76561198067713802,46,429.76,2.0,4.35
76561198187212131,29,159.93,1.0,3.45
rjh91,51,629.59,0.0,0.0
alansiulun,47,566.46,2.0,4.26
Albolah,11,144.89,3.0,27.27
76561198003056556,557,5771.43,1.0,0.18
76561198063941075,228,3552.86,0.0,0.0
76561198088886304,97,1454.24,0.0,0.0
maxpaynepillkiller,207,2258.84,5.0,2.42
76561198056092813,236,2688.16,0.0,0.0
76561198095481910,74,427.72999999999996,1.0,1.35
76561198089024454,54,617.65,0.0,0.0
76561198034129825,111,1138.33,0.0,0.0
76561198164545985,4,14.99,1.0,25.0
tninjat,26,304.85,0.0,0.0
76561198068935240,90,857.47,0.0,0.0
76561198036955150,24,339.85,0.0,0.0
76561198018840908,101,1112.3,0.0,0.0
AlkalineDeath,53,872.55,2.0,3.77
76561198075935236,42,264.82,2.0,4.76
Jupeter117,114,692.39,0.0,0.0
gsgg,104,797.39,0.0,0.0
76561198075258452,50,444.75,0.0,0.0
Jesusunholy,22,284.87,0.0,0.0
mintifreshbadger,101,1132.12,1.0,0.99
HenryCT,35,140.92,0.0,0.0
AlpacaRevolution,57,482.79,2.0,3.51
76561197996305896,72,902.5699999999999,0.0,0.0
AlphaBryn444,99,942.27,1.0,1.01
76561198009001563,245,3350.85,1.0,0.41
76561198016753953,31,287.8,2.0,6.45
smegmyfoodle,78,1215.44,2.0,2.56
altas2011,44,572.64,0.0,0.0
silentbroadcaster,116,1403.07,0.0,0.0
76561198057869849,84,1129.44,1.0,1.19
lol_ursuchanoob,160,2020.49,4.0,2.5
rhysf,51,695.62,0.0,0.0
76561198098156489,57,549.68,0.0,0.0
76561198040021446,57,335.69,0.0,0.0
76561198035890730,30,164.89999999999998,0.0,0.0
AMV72,1041,12018.22,4.0,0.38
76561198069170979,50,469.74,1.0,2.0
76561198085956238,88,1334.29,1.0,1.14
76561198132540690,55,321.81,2.0,3.64
711armageddoncarmageddon,96,777.39,3.0,3.12
76561198058301224,397,5305.66,0.0,0.0
76561198055326484,25,258.87,0.0,0.0
76561198034868596,140,1714.93,1.0,0.71
AncientBlade,23,41.96,0.0,0.0
Andraison,84,857.48,1.0,1.19
76561198048401235,78,663.58,0.0,0.0
76561198050465176,72,788.5799999999999,0.0,0.0
76561198026258913,109,667.61,0.0,0.0
76561198069560699,76,957.22,4.0,5.26
76561198099625419,198,1752.6699999999998,5.0,2.53
someone6245,116,1860.8,0.0,0.0
76561198084032274,70,723.54,0.0,0.0
76561198030772859,102,1377.37,0.0,0.0
Angrovar,82,845.55,2.0,2.44
AngryAinsley,101,674.68,4.0,3.96
76561198069005048,32,391.77,0.0,0.0
-AnimeIsMyThing-,127,1199.43,0.0,0.0
uradumbtit,246,3233.15,2.0,0.81
76561198037038784,136,1747.85,1.0,0.74
IKillNoobsFirst,48,304.76,1.0,2.08
76561198037888300,124,1407.15,1.0,0.81
operationblueberry,65,396.76,0.0,0.0
1234865654,76,463.64,1.0,1.32
antacy,35,213.85999999999999,0.0,0.0
76561197992148038,523,3519.93,0.0,0.0
76561198084123358,35,4.99,1.0,2.86
76561198034942509,212,2355.49,0.0,0.0
76561198032377745,71,857.4499999999999,0.0,0.0
capitaomurilao,63,518.65,0.0,0.0
Apachehavoc,81,1087.53,0.0,0.0
ApexNZ,62,795.67,5.0,8.06
76561198039441595,389,4177.0,3.0,0.77
76561198036687918,130,1770.14,1.0,0.77
Apollopepsi,96,1287.4,0.0,0.0
benjamin27,105,823.47,2.0,1.9
AppoGetsSuperAdmin,54,364.79,2.0,3.7
ARRIVE,45,497.67,0.0,0.0
76561198071475367,37,391.73,1.0,2.7
r3ap3r78,331,3768.24,0.0,0.0
Aquilares,296,4075.7,0.0,0.0
76561198065064829,10,69.96,1.0,10.0
XABLAUziitu,86,177.89,3.0,3.49
76561198012909706,182,1875.7,1.0,0.55
aarcanicuss,21,222.9,0.0,0.0
dragonchief,264,3623.92,0.0,0.0
76561198040530605,120,1283.15,8.0,6.67
76561197974500703,309,3550.36,9.0,2.91
76561198047185525,114,1462.08,3.0,2.63
mestuajix2,8,49.97,0.0,0.0
76561198067188826,34,325.72,0.0,0.0
ArcticTek,62,471.65,0.0,0.0
76561197974465310,72,686.5699999999999,0.0,0.0
sweep6060,107,1019.39,1.0,0.93
bilyitu,53,295.78999999999996,2.0,3.77
76561198088538797,53,419.74,1.0,1.89
76561198089844789,43,313.8,0.0,0.0
76561198072861800,7,54.96,0.0,0.0
deployablearchnagel,119,1454.1799999999998,1.0,0.84
rotflmaoman,120,1539.05,1.0,0.83
76561198088670023,54,569.61,0.0,0.0
76561198081028176,66,347.81,0.0,0.0
ArmouredForBattle,6,69.97,0.0,0.0
armouredmarshmallow,119,896.1,10.0,8.4
darrenfordfalcon,85,971.52,0.0,0.0
76561198020928326,110,1377.27,1.0,0.91
76561198045570160,131,1003.4399999999999,0.0,0.0
arockstar28,38,344.81,0.0,0.0
Array71,222,3155.25,1.0,0.45
76561198039874575,103,1299.32,1.0,0.97
arronlim13,131,1111.82,1.0,0.76
76561198042389215,170,1979.95,0.0,0.0
76561198006534186,81,1020.4399999999999,0.0,0.0
artej96,12,92.92,0.0,0.0
ARTHERDUNGER10,167,1922.6399999999999,1.0,0.6
Mackus1011,267,2802.89,4.0,1.5
76561198041877981,83,932.5,1.0,1.2
ARZARNAR,119,1172.29,1.0,0.84
76561198089950447,40,485.79,0.0,0.0
darkmassieh,174,1874.87,9.0,5.17
Boomblasty,12,39.98,0.0,0.0
asianturtlefrenzy,87,872.86,10.0,11.49
Edmund28,38,158.86,0.0,0.0
blowjobsfurdayzandgayz,104,470.7,2.0,1.92
76561198082992295,21,164.94,4.0,19.05
LaLocaDeLosDulces,48,253.86,1.0,2.08
76561198096064761,12,44.97,0.0,0.0
76561198064352761,117,1886.1,1.0,0.85
assassin_warman,165,1360.6399999999999,8.0,4.85
76561198019431054,137,1549.8799999999999,0.0,0.0
Astrelt,297,1656.24,10.0,3.37
bobjimmy007,126,1166.3899999999999,0.0,0.0
76561198091740831,25,235.84,1.0,4.0
76561198095380303,68,1377.45,0.0,0.0
76561198052003136,27,124.94,0.0,0.0
omgihaveawebpage,126,745.31,7.0,5.56
Swish0009,181,1895.47,5.0,2.76
76561198030943851,81,1080.37,0.0,0.0
Aurora99,136,1387.11,8.0,5.88
76561198053071988,174,2596.39,0.0,0.0
minionking,22,357.87,0.0,0.0
76561198083375450,215,2132.69,5.0,2.33
scroopy22,460,4959.28,1.0,0.22
76561198076984454,31,279.85,0.0,0.0
76561198091054851,144,1581.03,0.0,0.0
iDestrix,46,492.71999999999997,0.0,0.0
auzmoz,49,348.28999999999996,9.0,18.37
auzzie_96,92,974.3499999999999,1.0,1.09
76561198009353440,43,557.66,0.0,0.0
76561198082020576,47,271.84,0.0,0.0
fatrangacuntnolifevirgin,52,477.8,1.0,1.92
helvisavillon,2,0.0,0.0,0.0
76561198080015704,27,288.86,0.0,0.0
76561198040602004,75,1162.45,0.0,0.0
76561198082959786,25,179.88,0.0,0.0
76561198064150679,86,1041.56,1.0,1.16
76561198110293299,80,560.78,4.0,5.0
cam5699,105,1106.32,0.0,0.0
de_triggered,53,395.74,8.0,15.09
76561198071748311,29,507.76,1.0,3.45
azzydazzy,136,1607.1,0.0,0.0
76561198048900256,44,497.72,0.0,0.0
Azrafael,73,903.87,2.0,2.74
-Azsael-,167,2461.68,1.0,0.6
76561198076301023,12,81.94,1.0,8.33
arewefaded,232,1903.62,0.0,0.0
76561198065247809,170,947.22,0.0,0.0
76561198086081043,54,609.67,0.0,0.0
hoarbiscuit,183,1747.78,1.0,0.55
bohgeraltofrivia,130,1522.12,2.0,1.54
TeH-B-Rad,128,999.37,2.0,1.56
BAW_Killer,134,1792.96,1.0,0.75
moriceplease,20,194.85,0.0,0.0
gamerdude7892,72,532.62,1.0,1.39
76561197970168558,33,460.73,0.0,0.0
timothyshen,20,24.98,0.0,0.0
76561198227794828,53,511.78000000000003,0.0,0.0
2ez4medick,32,382.74,1.0,3.12
76561198118595651,35,164.9,0.0,0.0
BBBirb,51,103.85,2.0,3.92
AgentXiri,37,214.88,1.0,2.7
76561198018950738,138,1422.22,0.0,0.0
hamfritta,168,1931.55,0.0,0.0
76561198064579722,54,252.76,1.0,1.85
potatoskins,72,874.48,1.0,1.39
crispymemesmantheyremyfavourite,97,834.33,4.0,4.12
76561198044593618,41,399.83,0.0,0.0
76561198074409406,57,717.64,0.0,0.0
76561198049617612,102,1671.0,0.0,0.0
H-Alo,86,1037.35,1.0,1.16
76561198075444114,43,450.73,0.0,0.0
